loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,155.16,-0.06646257,0.5834537,0.6455426216125488,22.58,0.097719505,5317,28,753664,1268.6832966804504,172.59926
0.0,161.32,-0.078746095,0.6084179,0.6016004085540771,9.63,0.10126649,5340,23,757760,1275.3653283119202,176.01619
0.0,158.38,-0.06732751,0.57719165,0.6205180287361145,17.29,0.11003533,5367,27,761856,1281.971126317978,171.55309
0.0,156.48,-0.0779451,0.54925925,0.5121058523654938,20.2,0.087322034,5394,27,765952,1288.5300374031067,195.14728
0.0,152.12,-0.07950778,0.52587175,0.5578409135341644,8.64,0.08857344,5422,28,770048,1295.0349779129028,180.1467
0.0,145.35,-0.077580646,0.5035993,0.6821434795856476,10.49,0.115396105,5451,29,774144,1301.6168138980865,168.46104
0.0,142.13,-0.07705775,0.4748212,0.5536139607429504,8.12,0.10663564,5479,28,778240,1308.2847266197205,174.436
0.0,150.26,-0.06507467,0.46403694,0.49327313899993896,3.72,0.18097362,5503,24,782336,1314.9676313400269,167.57317
0.0,158.12,-0.06681945,0.44360298,0.6662420332431793,-3.9,0.10304537,5526,23,786432,1321.8334951400757,114.84872
0.0,162.58,-0.07635416,0.44440228,0.7067957520484924,-1.6,0.09542719,5552,26,790528,1328.4744663238525,154.2127
0.0,166.38,-0.08043983,0.44605812,0.6445098519325256,-8.78,0.085857786,5577,25,794624,1335.0277059078217,160.68324
0.0,162.59,-0.07936071,0.42487007,0.6944476068019867,3.89,0.11041923,5604,27,798720,1341.6483037471771,150.97588
0.0,160.31,-0.07361957,0.39027992,0.7386341094970703,11.3,0.12360615,5628,24,802816,1348.3782155513763,126.10842
0.0,158.84,-0.07710663,0.37240985,0.6706675589084625,8.02,0.10930804,5655,27,806912,1354.97984623909,145.4245
0.0,162.27,-0.07365702,0.3431204,0.6876839995384216,15.22,0.10418247,5677,22,811008,1361.3665432929993,113.82071
0.0,157.71,-0.0731017,0.3372137,0.6566826105117798,13.66,0.093983375,5708,31,815104,1367.6930739879608,133.94496
0.0,150.43,-0.08203328,0.32473546,0.6053304970264435,16.26,0.10918794,5735,27,819200,1374.0188148021698,189.6813
0.0,147.82,-0.07988983,0.29566953,0.7500700205564499,27.06,0.12310669,5762,27,823296,1380.5412411689758,128.40318
0.0,142.99,-0.07179382,0.27380204,0.6637199521064758,12.34,0.101270616,5792,30,827392,1386.9120745658875,146.28014
0.0,150.67,-0.08279345,0.24596404,0.5520974099636078,11.35,0.104149766,5816,24,831488,1393.3777658939362,134.68433
0.0,148.63,-0.077424094,0.25139213,0.6688247919082642,18.33,0.101077326,5846,30,835584,1399.8059203624725,176.35788
0.0,149.25,-0.08138557,0.23397228,0.6249279379844666,11.98,0.12412172,5872,26,839680,1406.1506876945496,165.4925
0.0,144.73,-0.084955074,0.20078084,0.6628414690494537,3.64,0.11050756,5899,27,843776,1412.5637032985687,157.35324
0.0,153.5,-0.07734052,0.19741347,0.5668955743312836,12.35,0.12533839,5924,25,847872,1418.7369236946106,144.56483
0.0,154.68,-0.0701787,0.17501767,0.6518082916736603,18.21,0.18980719,5954,30,851968,1424.9814479351044,161.826
0.0,147.5,-0.07403006,0.14526643,0.6672822833061218,26.23,0.10113474,5981,27,856064,1431.1946048736572,164.12073
0.0,157.65,-0.0694386,0.12324235,0.50228151679039,31.67,0.12887748,6003,22,860160,1437.563397884369,149.13657
0.0,154.28,-0.07839835,0.08118729,0.6224447190761566,32.18,0.119765714,6033,30,864256,1443.8242990970612,161.1125
0.0,153.89,-0.07167456,0.053799078,0.6169917583465576,18.42,0.12115634,6060,27,868352,1450.2326958179474,158.90404
0.0,138.5,-0.07452309,0.046816587,0.6873496472835541,14.5,0.10904045,6093,33,872448,1456.8487532138824,170.84169
0.0,140.73,-0.07123563,0.05851262,0.6674852669239044,1.86,0.1337577,6121,28,876544,1463.500682592392,159.91075
0.0,144.03,-0.083089046,0.021867752,0.7131853997707367,-2.02,0.1159494,6147,26,880640,1470.1810994148254,156.41393
0.0,147.86,-0.07233609,0.0057661533,0.6005903482437134,-2.93,0.12300387,6174,27,884736,1476.8290569782257,155.19571
0.0,146.41,-0.073900245,-0.0141375065,0.7268597781658173,-3.06,0.11576701,6204,30,888832,1483.360368013382,135.7429
0.0,148.46,-0.0748954,-0.0136966705,0.661841094493866,8.05,0.10831717,6230,26,892928,1489.6842923164368,177.88945
